cycle,range_bin,doppler_bin,output_hex
1367045000,47,11,01d1ff2a
1367055000,47,12,fe9bffd0
1367065000,47,13,008dfff3
1367075000,47,14,ffbb002a
1367085000,47,15,00550161
1367095000,47,16,00c5fd44
1367105000,47,17,ff10033a
1367115000,47,18,ffeefe71
1367125000,47,19,01220049
1367135000,47,20,feebfed6
1367145000,47,21,018c022e
1367155000,47,22,fe39fdf0
1367165000,47,23,00500199
1367175000,47,24,0010fe58
1367185000,47,25,0137018e
1367195000,47,26,fe60fe20
1367205000,47,27,0153017a
1367215000,47,28,ff930004
1367225000,47,29,0011fe5b
1367235000,47,30,00430312
1367245000,47,31,ffc5fe51
1372315000,48,0,ffd0ffe3
1372325000,48,1,0072fede
1372335000,48,2,01de01e1
1372345000,48,3,fcebfd60
1372355000,48,4,018102cf
1372365000,48,5,ffddfced
1372375000,48,6,fe7f0283
1372385000,48,7,001aff5c
1372395000,48,8,01adffc5
1372405000,48,9,ffddff8d
1372415000,48,10,ff7c0120
1372425000,48,11,ff62fec2
1372435000,48,12,024800f2
1372445000,48,13,fdcfff73
1372455000,48,14,ff48ff04
1372465000,48,15,01260230
1372475000,48,16,feeafdaf
1372485000,48,17,01700248
1372495000,48,18,fdfaffaf
1372505000,48,19,01a7ff84
1372515000,48,20,ffb3feff
1372525000,48,21,ff8f0189
1372535000,48,22,01370057
1372545000,48,23,fe64ff9a
1372555000,48,24,0199009d
1372565000,48,25,ffa5feed
1372575000,48,26,ffd80124
1372585000,48,27,ff20ff6a
1372595000,48,28,025c0054
1372605000,48,29,fdc1fe67
1372615000,48,30,02fe0146
1372625000,48,31,fde8ffda
1377695000,49,0,ffb6fd4b
1377705000,49,1,fff00113
1377715000,49,2,020800c8
1377725000,49,3,fd70febb
1377735000,49,4,014c00c9
1377745000,49,5,ffd1ff2a
1377755000,49,6,0100009f
1377765000,49,7,fe0fff27
1377775000,49,8,00dd0145
1377785000,49,9,ffb2fead
1377795000,49,10,00d90060
1377805000,49,11,fe260037
1377815000,49,12,039a00d8
1377825000,49,13,fd3cff22
1377835000,49,14,00d8ffee
1377845000,49,15,ffe00028
1377855000,49,16,ff62ffd3
1377865000,49,17,0184001f
1377875000,49,18,fea0ff84
1377885000,49,19,003e003b
1377895000,49,20,005cff01
1377905000,49,21,ffe901d0
1377915000,49,22,ff34fe4f
1377925000,49,23,007d0119
1377935000,49,24,004fff35
1377945000,49,25,fee200d9
1377955000,49,26,00ff0018
1377965000,49,27,feec007f
1377975000,49,28,00eaff1e
1377985000,49,29,ff8a0144
1377995000,49,30,00f4fc98
1378005000,49,31,ff5c0444
1383075000,50,0,ff81ff12
1383085000,50,1,ffed0045
1383095000,50,2,00be0005
1383105000,50,3,fed8ff8b
1383115000,50,4,ffd0ff68
1383125000,50,5,008b00e3
1383135000,50,6,00bd0014
1383145000,50,7,fe39ff85
1383155000,50,8,00d5024a
1383165000,50,9,0029fd42
1383175000,50,10,ffc302f8
1383185000,50,11,0080fc89
1383195000,50,12,ffd1029e
1383205000,50,13,ff1cfef8
1383215000,50,14,010a0091
1383225000,50,15,ffebfef6
1383235000,50,16,000901e8
1383245000,50,17,0007feed
1383255000,50,18,013efff5
1383265000,50,19,fee0ff25
1383275000,50,20,007c01f4
1383285000,50,21,00cffe43
1383295000,50,22,fd6bffca
1383305000,50,23,01eb0005
1383315000,50,24,fef5004c
1383325000,50,25,0043fff8
1383335000,50,26,00c10042
1383345000,50,27,fec8ff77
1383355000,50,28,01d70096
1383365000,50,29,fd72ffde
1383375000,50,30,0176ff9d
1383385000,50,31,00390108
1388455000,51,0,0062fed1
1388465000,51,1,fe72006a
1388475000,51,2,022dfe39
1388485000,51,3,fe1101bb
1388495000,51,4,0013fe61
1388505000,51,5,ffea0066
1388515000,51,6,00a400de
1388525000,51,7,fe8aff92
1388535000,51,8,01b30176
1388545000,51,9,ff52fe3f
1388555000,51,10,ff880121
1388565000,51,11,001fff88
1388575000,51,12,012700a2
1388585000,51,13,fe8b001f
1388595000,51,14,00a3006a
1388605000,51,15,ffbbfe16
1388615000,51,16,0188015f
1388625000,51,17,fe0800a6
1388635000,51,18,022dfe6f
1388645000,51,19,ff7900e1
1388655000,51,20,fec7ff7d
1388665000,51,21,01d600fc
1388675000,51,22,fe1efe92
1388685000,51,23,013c0136
1388695000,51,24,ff8bff06
1388705000,51,25,fff800a9
1388715000,51,26,00fafe7b
1388725000,51,27,fe530174
1388735000,51,28,00afffac
1388745000,51,29,00510037
1388755000,51,30,fff7fe6a
1388765000,51,31,0013027a
1393835000,52,0,0126fea7
1393845000,52,1,0064ffbc
1393855000,52,2,006b0146
1393865000,52,3,fef6ff6a
1393875000,52,4,ff63ff97
1393885000,52,5,ffc3ffce
1393895000,52,6,01260109
1393905000,52,7,fe37ffce
1393915000,52,8,010eff6b
1393925000,52,9,00110087
1393935000,52,10,00d600b1
1393945000,52,11,fd23fe27
1393955000,52,12,03ab0394
1393965000,52,13,fdc8fcd5
1393975000,52,14,0048021c
1393985000,52,15,0176fe64
1393995000,52,16,fe9201bd
1394005000,52,17,00eefe8a
1394015000,52,18,ff3900ea
1394025000,52,19,0090fe0e
1394035000,52,20,0039013d
1394045000,52,21,ff85ffc6
1394055000,52,22,ffd40155
1394065000,52,23,0049fea8
1394075000,52,24,008a0139
1394085000,52,25,fec9fefb
1394095000,52,26,02420127
1394105000,52,27,feb7fe09
1394115000,52,28,00390088
1394125000,52,29,ff74019f
1394135000,52,30,01c2fcc6
1394145000,52,31,fd6a026e
1399215000,53,0,005a000f
1399225000,53,1,00dbfff4
1399235000,53,2,ff12ff40
1399245000,53,3,00db01d3
1399255000,53,4,ffa8fe99
1399265000,53,5,ff8effd4
1399275000,53,6,012f002f
1399285000,53,7,fd9c0037
1399295000,53,8,0308ff37
1399305000,53,9,ff05003b
1399315000,53,10,ff1f0124
1399325000,53,11,ff21fef9
1399335000,53,12,02fb01bc
1399345000,53,13,fde3fdc7
1399355000,53,14,0129013b
1399365000,53,15,feccff1d
1399375000,53,16,0166ff73
1399385000,53,17,fe930108
1399395000,53,18,00d2ffec
1399405000,53,19,ff93fee7
1399415000,53,20,ff6c017b
1399425000,53,21,025efe44
1399435000,53,22,fd2b01a5
1399445000,53,23,0124ffc1
1399455000,53,24,ff580017
1399465000,53,25,ffcdff31
1399475000,53,26,00590098
1399485000,53,27,0029ff7d
1399495000,53,28,00510228
1399505000,53,29,ff99fe29
1399515000,53,30,01610031
1399525000,53,31,fe54005b
1404595000,54,0,02070039
1404605000,54,1,fef8ffd8
1404615000,54,2,0014ff24
1404625000,54,3,00380202
1404635000,54,4,00ebfeb0
1404645000,54,5,fdecff99
1404655000,54,6,013e0147
1404665000,54,7,fe57febd
1404675000,54,8,024e0081
1404685000,54,9,ffa5ff75
1404695000,54,10,fea901c0
1404705000,54,11,0091fd45
1404715000,54,12,0136033e
1404725000,54,13,ff64fcf5
1404735000,54,14,ff96021c
1404745000,54,15,ffa9fed2
1404755000,54,16,01a1005b
1404765000,54,17,fe2affd0
1404775000,54,18,00600108
1404785000,54,19,00d6fe32
1404795000,54,20,ff1500ee
1404805000,54,21,0182fe51
1404815000,54,22,fe2401d7
1404825000,54,23,00c5ff5f
1404835000,54,24,ff8e004f
1404845000,54,25,ff45004f
1404855000,54,26,0133ffc8
1404865000,54,27,fed9ff6f
1404875000,54,28,01c60248
1404885000,54,29,fe1afe2d
1404895000,54,30,01d8000a
1404905000,54,31,fe2b0032
1409975000,55,0,00f1ffe2
1409985000,55,1,ff7e023f
1409995000,55,2,ff77fd78
1410005000,55,3,fff7012d
1410015000,55,4,0069fe9c
1410025000,55,5,ffbc01ee
1410035000,55,6,014efe23
1410045000,55,7,fd2801cc
1410055000,55,8,01fbff4c
1410065000,55,9,0086ffc9
1410075000,55,10,fec10057
1410085000,55,11,ffde0062
1410095000,55,12,00e300b9
1410105000,55,13,0003fe6f
1410115000,55,14,ffa200f8
1410125000,55,15,004b004d
1410135000,55,16,ffa1fd8a
1410145000,55,17,006a02af
1410155000,55,18,0035feac
1410165000,55,19,011b00ef
1410175000,55,20,fd6bffa6
1410185000,55,21,03bcff88
1410195000,55,22,fbfcffa1
1410205000,55,23,030e00f4
1410215000,55,24,fd43fe1c
1410225000,55,25,025a0195
1410235000,55,26,fdc3ff65
1410245000,55,27,00bcffd6
1410255000,55,28,00310011
1410265000,55,29,001d013f
1410275000,55,30,007cffa4
1410285000,55,31,ff23ff0f
1415355000,56,0,ff1eff9b
1415365000,56,1,00deff7f
1415375000,56,2,005400fe
1415385000,56,3,fdd9feb7
1415395000,56,4,02470113
1415405000,56,5,febffeb2
1415415000,56,6,00430121
1415425000,56,7,ffc20119
1415435000,56,8,022ffddc
1415445000,56,9,fdaa016c
1415455000,56,10,01aeff2f
1415465000,56,11,fe3effce
1415475000,56,12,0325005e
1415485000,56,13,fc7b0006
1415495000,56,14,00dcff51
1415505000,56,15,004e0054
1415515000,56,16,0008ff63
1415525000,56,17,ffbc009d
1415535000,56,18,003c009c
1415545000,56,19,001ffedf
1415555000,56,20,ffd90097
1415565000,56,21,ff47ff52
1415575000,56,22,0085019b
1415585000,56,23,ff22febb
1415595000,56,24,00df015e
1415605000,56,25,007cfe14
1415615000,56,26,fec20277
1415625000,56,27,00a2fe80
1415635000,56,28,004fffb8
1415645000,56,29,ffef009a
1415655000,56,30,0064ffbb
1415665000,56,31,fff600b4
1420735000,57,0,ff75fe7e
1420745000,57,1,00b50012
1420755000,57,2,00a3013c
1420765000,57,3,fe45fdfe
1420775000,57,4,01a8008e
1420785000,57,5,fee5ffe3
1420795000,57,6,00460048
1420805000,57,7,feffff17
1420815000,57,8,025000b9
1420825000,57,9,fe04ff85
1420835000,57,10,01aa0169
1420845000,57,11,fd3bfd49
1420855000,57,12,021602c0
1420865000,57,13,feccff13
1420875000,57,14,0066fef8
1420885000,57,15,0028015d
1420895000,57,16,fee5002a
1420905000,57,17,01edff06
1420915000,57,18,feeb00b2
1420925000,57,19,0067ffca
1420935000,57,20,ffe8003c
1420945000,57,21,0011fec5
1420955000,57,22,ff420180
1420965000,57,23,00edff89
1420975000,57,24,fec60127
1420985000,57,25,00defe93
1420995000,57,26,ffe8ffbd
1421005000,57,27,ff49011b
1421015000,57,28,01eaff3e
